問題文,正解,解説
実像は見ているものと同じ向きで見えるものである,×,逆向き。勘違いをしている人がいそう
実像は、実際には光が集まってはいない像である。,×,光が集まっていない像は虚像。
音は液体・気体には伝わるが、固体・真空には伝わらない。,×,固体にも音は伝わる
タカシくんは理科の授業で電流をはかる実験をした。電流計に－端子をつなぐ際、測定対象の電流値が分からなかったため一番小さい５０ｍAに－端子をさした。タカシくんの行動は正しいか正しくないか。,×,電流値が不明な場合は故障を防ぐため一番大きい５Aに－端子をさす
2000年以上前古代ギリシャのニュートンは重いものほど速く落下すると考えた。,×,アリストテレス
複数の力と同じ働きをする一つの力を同力という,×,合力
物体を秋多中の高いところから落とした時、重いものほど速く落下する,○,空気抵抗がなければ、羽と鉄球のように重さの違うものでも同時に落下する
鐘状火山は噴火が激しい。,○,マグマのねばりけが高いから、噴火も激しい。楯状火山は噴火が穏やか
マグニチュードが１上がる度、規模が約３２倍ずつ大きくなる。,○,１つ上がる度に約３２倍大きくなる。正確には10√10倍→数字が２つ上がるとエネルギー量は1000倍
師管は光合成によって作られた有機養分の通り道,○,葉緑体じゃなくて光合成
石英は有色鉱石である,×,無色鉱石である
斑レイ岩は斑状組織である,×,斑がつくが斑状組織ではない。等粒状組織である。
化石は、すべての生物の体の一部が残ったものである。,×,体の一部だけでなく、足跡の化石などもある。石炭も化石に分類(植物由来の化石資源)
泥岩の粒の大きさは16分の1mm以下である,○,"代表的な知識ではないため,わかりずらい。"
地中に埋まっているものをマグマといい、地表に出てきたものを溶岩という。,○,それぞれに違う名前が付けられており、性質が違う場合もある。
夏の気圧配置は南高北低である,○,冬の気圧配置は西高北低
地震の「規模の大きさ」を表す単位は 震度 である。,×,正解はマグニチュードです。マグニチュードは「地震そのものの規模」を表す尺度です。
シベリア気団は、おもに冬に日本へ影響をあたえる,○,季節があってるかあってないかということ
空の9割が雲に覆われている。天気予報などではこの状態は晴れでしょうか？,×,２～8割までが晴れ
天体が決まった天体を中心に動くことを公転という。,○,忘れやすいところ。
南半球の太陽は西から昇って北を通り東に沈む。　,×,東から昇って北を通り西に沈む。
地球から西に見える金星のことを「宵の明星」という,○,東の空から見えるのが「明けの明星」
上弦の月は昇っているときに弦が下を向いている,○,沈むときに弦が上を向くので、昇っているときは下向きになる
等級(天体の明るさを表す単位)が大きいほど明るい。,×,等級は数値が小さいほど明るくなる。太陽は約ー２６等級
土星は主に水素とヘリウムガスからできているが、土星の環は氷と石からできている。,○,土星本体と土星の環では、作られている成分が大きく異なるため。
太陽の活動が活発になると、オーロラは観測しやすい。,○,太陽の活動が活発な時に見える
月が地球の影に入る現象を月食という,○,月食か日食か
自ら光や熱を出して輝いている天体を「恒星」という。,○,
タカシくんは午前０時にさそり座を見たかったので６月に観測をした。タカシくんはさそり座を見ることが出来たか。（タカシくんは北半球に住んでいる）※周囲の明るさは考えないものとする,○,
太陽の黒点は、太陽の中で温度の低い場所である。,○,周囲よりも温度が低いため、暗く（黒く）見えているだけです。
"日食は,月が地球の影に入り隠れることで起きる現象である",×,月食が正解であるため問題文の回答は×になる。月食と日食の違いが分かりづらいため選択した
星座の南中高度は季節によって変わらない,○,太陽は公転面の垂直に対して地軸が傾いているから変わるが、星座はそうではないので変わらない。星座の見える時間や、見える時期は年間を通して変わる。
太陽が完全に隠れてしまう日食を皆既日食という。,○,皆既日食
じゃがいもは種子ではなく、地下茎と呼ばれる茎である。,○,
は虫類は「変温動物」である。,○,
タンポポは離弁花である,×,タンポポはひとつの花が沢山集まっている合弁花である。
チューリップやタンポポの花が閉じる時間は夕方である。,○,シンプル問題、迷わないように！
タンポポの根は主根と側根でできている,○,"タンポポは双子葉類か単子葉類か迷わせたい。意外にも記憶にない為,わかりずらい"
植物の花がまだ開いていない、萼（がく）や花弁に包まれた未熟な状態のことを胚という。,×,植物の場合は蕾です。
心臓から肺につながる肺動脈には動脈血が流れている。,×,動脈だけど流れているのは静脈血。
動脈血は心臓から送り出された血液のこと,×,動脈血は酸素を大きく含む血液で、問題文に書いたのは動脈
白血球は酸素が多いところでは酸素と結合しやすく酸素の少ないところでは酸素を離しやすい,×,この働きをするのは白血球ではなく赤血球に含まれるヘモグロビン
植物が根を生やすときに出てくる細かい毛を、毛根という。,×,毛根じゃなくて、根毛です。
ミジンコやゾウリムシは単細胞生物である。,×,ゾウリムシは単細胞生物だが、ミジンコは多細胞生物である。
植物と動物の細胞で共通しているものは、核・細胞膜だけである。,×,細胞壁が入ってないから〇だと思うかもしれないけど、他にも細胞質やミトコンドリアなども共通しているため２つだけではない。
アミラーゼはデンプンを分解することができる。,○,アミラーゼは他にも、グリコーゲンなども分解できます。
呼吸の回数を数える時は、一定時間に何回呼吸をしたかが基準、一定時間とは1秒間である。,×,1分間が正解です。1秒間では正確に測ることは難しいようです。
「植物の細胞」と「動物の細胞」、どちらにも「細胞壁」がある,×,「細胞膜」ならどちらにもあるが、「細胞壁」は植物だけ。
ヨウ素液はデンプンの検出に用いる。薬品である。ヨウ素液がデンプンと反応すると赤褐色になる。,×,ヨウ素液はデンプンに反応すると青紫色になる。赤褐色に反応するのは、ベネジクト液が糖(麦芽糖)に反応したとき。
ベネジクト液はデンプンに反応し青紫色に変化する,×,ベネジクト液は糖に反応し、赤褐色に変化する
遺伝子の本体である物質をデオキシリボ核酸という,○,DNAで覚えてるから忘れてそう。
ヘモグロビンは酸素の多いところでは、酸素と結びつく。,○,ヘモグロビンの持つ性質、酸素の量によって結びつくか離れるか変わる。
DNAの正式名称は「デノキシリボ核酸」である。,×,一文字違い。　正しいのは、「デオキシリボ核酸」
遺伝子はDNAの中に情報である。,○,あえて何もひねらず、迷わせます。
生物と生物の間では○○連鎖という、お金を借りる・借りられるの関係がある。,×,食物連鎖は食べる・食べられるの関係にあります。お金の貸し借りは、貸借関係です。
サンヨウチュウは古生代の生き物である,○,アンモナイトと迷うかも
哺乳類は唯一の恒温動物である,×,鳥類も含まれる。意外と忘れている
アンモニアは水に溶けやすいため下方置換法が適切である,×,"アンモニアの重さから,下方置換法か上方置換法か迷わせたい。答えは上方置換法である。"
塩化アンモニウムの化学式はNH₃Clである。,×,正しい答えはNH₄Clである。原子の数が３ではなく４であることがポイント。
レモンの汁を赤色リトマス紙につけると青色に変化する。,×,レモンの汁は強い酸性なので、赤色リトマス紙につけても、変化は起きず赤色のまま。
水とエタノールの沸点の差は12℃である。,×,水の沸点は100℃、エタノールは78℃であることを理解したうえで、差を求める必要がある。　100－78＝22なので答えは×
アンモニアを集めるとき、水上置換法を使わないのは、アンモニアは人体に有害だからである。,×,アンモニアは水に溶けやすいため、水上置換法は使われない。
酸素の元素記号は「O」である,○,化学式なら「O ₂」
中和をするときは吸熱反応が起こる。,×,発熱反応が起こり、熱くなる。
醤油は電流を通す。,○,主成分である食塩（塩化ナトリウム）が水に溶けて「イオン」に分かれ、そのイオンが電気を運ぶ（電解質水溶液となる）ため
お酢は酸性である,○,酢酸といい、酸性だから
塩(えん)は酸の陽イオンとアルカリの陰イオンが結びついたものである,×,酸の陰イオンとアルカリの陽イオン
酸とアルカリを混ぜた時にできる物質を塩基性化合物という,×,塩ができる　というのが答えであるため×
水にBTB溶液を入れて緑色にし、そこに入浴剤（成分：炭酸水素ナトリウム、着色料：無）を溶かすと、炭酸ガスが発生し溶けるので、色は黄色になる。,×,炭酸水素ナトリウム水溶液は、弱いアルカリ性だから、青色である。
雷は雲の中で蓄えられた静電気の放電現象である。,○,微妙なラインを突きます。
 霰（あられ）と霙（みぞれ）の違いは粒の大きさ,×,あられは直径5ミリ未満の氷の粒。みぞれは、雪が溶けながら落ちて来ること。
SDGsの達成するべき目標は、18個ある。,×,正解は17個です。復習しておきましょう。
